time,rank,schmidt_proxy_from_rhoA,p_eig,cum_weight,cut,channel,gamma,model,N,m_over_g,x
3.0,18,0.021673708312934643,0.0004697496320341722,0.998161642617761,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
3.0,19,0.020189112734375986,0.00040760027300134255,0.9985692428907623,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
3.0,20,0.01837842930366326,0.0003377666636697484,0.9989070095544321,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
3.0,21,0.016330743767810265,0.0002666931920098738,0.999173702746442,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
3.0,22,0.013370205694384872,0.00017876240031016165,0.9993524651467521,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
3.0,23,0.013337743470086991,0.00017789540087384816,0.999530360547626,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
3.0,24,0.010944217067993164,0.00011977588723135289,0.9996501364348573,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
3.0,25,0.010872650542362956,0.00011821452981634546,0.9997683509646736,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
3.0,26,0.009903142200854255,9.807222545034048e-05,0.999866423190124,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
3.0,27,0.008001782359538655,6.4028520929424e-05,0.9999304517110534,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
3.0,28,0.006557242659838688,4.2997431300008344e-05,0.9999734491423534,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
3.0,29,0.0036392305331873166,1.3243998873682842e-05,0.9999866931412271,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
3.0,30,0.003507440671876953,1.2302140066736652e-05,0.9999989952812939,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
3.0,31,0.0010023565761536903,1.004718705758549e-06,0.9999999999999997,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
6.0,0,0.7823401717147888,0.6120561442787251,0.6120561442787251,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
6.0,1,0.44888899456021636,0.20150132943728194,0.8135574737160071,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
6.0,2,0.19105747478853574,0.03650295867257197,0.850060432388579,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
6.0,3,0.15797604984903285,0.02495643232590411,0.8750168647144831,4,charge_dephasing,0.02,schwinger,10,0.125,4.0
