source,x,N,ag2,mg,E0,E1,gap,dim
ED,16.0,10,0.0625,1.2799659669009884,-93.52114871835263,-83.28142098314473,10.239727735207907,252
ED,16.0,12,0.0625,1.1314622671219237,-113.22068963547859,-104.1689914985032,9.05169813697539,924
ED,16.0,14,0.0625,1.0276207908250043,-132.94013887479306,-124.71917254819303,8.220966326600035,3432
ED,16.0,16,0.0625,0.952198195228096,-152.67416609147395,-145.05658052964918,7.617585561824768,12870
ED,16.0,18,0.0625,0.895745249035361,-172.41913782636908,-165.2531758340862,7.165961992282888,48620
ED,16.0,20,0.0625,0.852429177236651,-192.17237907261483,-185.35294565472162,6.819433417893208,184756
ED,24.0,8,0.041666666666666664,1.7933755732243233,-111.88019466300179,-94.30877437671826,17.571420286283526,70
ED,24.0,10,0.041666666666666664,1.5085365085524625,-141.67075611776687,-126.89017730051405,14.780578817252817,252
ED,24.0,12,0.041666666666666664,1.3164333083912139,-171.49952269347133,-158.60116314962173,12.898359543849608,924
ED,24.0,14,0.041666666666666664,1.1800126274032523,-201.35337064791742,-189.79165533920184,11.561715308715577,3432
ED,24.0,16,0.041666666666666664,1.0794204820456672,-231.22535925886973,-220.649241663186,10.57611759568374,12870
ED,24.0,18,0.041666666666666664,1.003071226049497,-261.11121868095654,-251.28316796299978,9.828050717956756,48620
ED,24.0,20,0.041666666666666664,0.9437616910651038,-291.00798949415247,-281.76105116656976,9.246938327582711,184756
ED,32.0,8,0.03125,2.0436582179497926,-149.9290723194597,-126.80771897002107,23.12135334943862,70
ED,32.0,10,0.03125,1.708300920276735,-189.8498406245964,-170.522621984038,19.327218640558385,252
ED,32.0,12,0.03125,1.4804023358758311,-229.81912858757659,-213.0702880982613,16.748840489315285,924
ED,32.0,14,0.03125,1.3172014565773382,-269.8190041173726,-254.91657080321843,14.902433314154138,3432
ED,32.0,16,0.03125,1.1958067212275725,-309.8403289694238,-296.3113203043283,13.529008665095489,12870
ED,32.0,18,0.03125,1.1028624962441864,-349.8778195028603,-337.4003547058909,12.4774647969694,48620
ED,32.0,20,0.03125,1.0300561766311749,-389.9280551551875,-378.27429983520364,11.653755319983873,184756
ED,48.0,8,0.020833333333333332,2.470178324279748,-226.04738872023842,-191.81959382897543,34.22779489126299,70
ED,48.0,10,0.020833333333333332,2.051571874743592,-286.240526273418,-257.81311249393616,28.427413779481867,252
ED,48.0,12,0.020833333333333332,1.7649262340218945,-346.5049091685059,-322.04937389700893,24.455535271496956,924
ED,48.0,14,0.020833333333333332,1.5578744689697606,-406.8122718002346,-385.22572994367454,21.586541856560075,3432
ED,48.0,16,0.020833333333333332,1.4024110076638552,-467.14835084792594,-447.71597390098464,19.432376946941304,12870
ED,48.0,18,0.020833333333333332,1.2822102581573227,-527.5051996979073,-509.7383731929914,17.76682650491591,48620
ED,48.0,20,0.020833333333333332,1.187114260241849,-587.8779947342798,-571.4288570292524,16.449137705027397,184756
ED,64.0,8,0.015625,2.8336048402277534,-302.1764269442794,-256.83874950063534,45.337677443644054,70
ED,64.0,10,0.015625,2.3457128885693272,-382.64854257669856,-345.1171363595893,37.531406217109236,252
ED,64.0,12,0.015625,2.010357171943518,-463.21612258107336,-431.0504078299771,32.16571475109629,924
ED,64.0,14,0.015625,1.7670589863849528,-543.8402897396016,-515.5673459574424,28.272943782159246,3432
ED,64.0,16,0.015625,1.58348903067602,-624.5013116631089,-599.1654871722926,25.33582449081632,12870
ED,64.0,18,0.015625,1.4408101769137787,-705.1882201307716,-682.1352573001511,23.05296283062046,48620
ED,64.0,20,0.015625,1.3273068560412682,-785.8944567233457,-764.6575470266854,21.23690969666029,184756
